"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.208749964E-4	-1.201351386E-1	7.509637535E-2	2.507437734E-1	2.880006198E-1
1.009587500E-2	-1.202491593E-1	9.781982481E-2	3.580893338E-1	3.902006528E-1
2.007087500E-2	-3.551891148E-3	7.417660832E-2	2.445586252E-1	2.555850276E-1
3.004587500E-2	2.210715294E-2	1.048815072E-1	4.665551841E-2	1.168999322E-1
4.002087500E-2	2.870983342E-2	1.469282502E-1	-8.316264588E-2	1.712547544E-1
4.999587500E-2	4.635292957E-2	2.148717266E-1	-7.582263608E-2	2.325242463E-1
5.997087499E-2	6.408489883E-2	2.588468814E-1	-1.061269641E-2	2.668730252E-1
6.994587500E-2	7.615006188E-2	2.018499774E-1	5.080634717E-2	2.216382869E-1
7.992087500E-2	1.130053362E-1	1.197217405E-1	1.918471456E-2	1.657454507E-1
8.989587500E-2	1.690739948E-1	5.575378597E-2	-7.397144414E-2	1.927855671E-1
9.987087500E-2	1.827152748E-1	-2.304387689E-3	-1.570457971E-1	2.409430726E-1
1.098458750E-1	1.588399056E-1	2.900452852E-2	-2.390587707E-1	2.884795905E-1
1.198208750E-1	1.126855027E-1	4.681280851E-3	-2.469654123E-1	2.714992666E-1
1.297958750E-1	1.246705406E-1	-8.641249180E-2	-2.556227998E-1	2.972421205E-1
1.397708750E-1	1.388126164E-1	-1.589220589E-1	-2.887881704E-1	3.576643268E-1
1.497458750E-1	1.436669839E-1	-1.798650312E-1	-2.651566849E-1	3.511405691E-1
1.597208750E-1	1.516817442E-1	-2.088578653E-1	-2.318304062E-1	3.469499916E-1
1.696958750E-1	9.553184588E-2	-2.076007140E-1	-1.972869199E-1	3.019048174E-1
1.796708750E-1	5.718169430E-2	-1.557172000E-1	-1.137412814E-1	2.011334672E-1
1.896458750E-1	3.960202217E-2	-9.318005919E-2	-5.053163767E-3	1.013724719E-1
1.996208750E-1	1.051269075E-2	-6.757977962E-2	2.729838409E-2	7.363929016E-2
2.095958750E-1	3.197025457E-2	-4.526972830E-2	-4.508276358E-3	5.560368723E-2
2.195708750E-1	7.088226875E-2	-7.401522517E-2	-7.145224437E-3	1.027307345E-1
2.295458750E-1	4.825560898E-2	-8.134003222E-2	1.439584494E-2	9.566632109E-2
2.395208750E-1	2.424080193E-2	-9.806365371E-2	2.112014294E-2	1.031995983E-1
2.494958750E-1	3.415826440E-2	-9.726258516E-2	4.843950391E-2	1.138998816E-1
2.594708750E-1	2.143998563E-2	-8.909285545E-2	5.776698232E-2	1.083246700E-1
