"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
2.335458332E-3	-2.106108606E-1	-9.036579430E-2	3.002896070E-1	3.777522462E-1
1.231045833E-2	-3.203865101E-2	4.406929493E-2	1.927055168E-1	2.002598166E-1
2.228545833E-2	6.106715540E-2	-6.172730148E-2	-1.825149780E-2	8.872752892E-2
3.226045833E-2	2.316155210E-1	-1.793224096E-1	-1.351443565E-1	3.225930459E-1
4.223445833E-2	2.206686562E-1	-1.341877520E-1	-9.793033719E-2	2.762089057E-1
5.220945834E-2	1.254517195E-1	-4.039899766E-2	-2.369525671E-2	1.339092160E-1
6.218445834E-2	6.445941299E-2	2.643935502E-2	9.856066704E-3	7.036474592E-2
7.215945834E-2	1.069207236E-1	6.767801285E-2	-4.872952580E-2	1.355983822E-1
8.213345833E-2	1.443899647E-1	7.566647887E-2	-1.530122781E-1	2.235769111E-1
9.210845833E-2	7.081856151E-2	1.012831306E-1	-2.284594864E-1	2.597446402E-1
1.020834583E-1	4.073111951E-2	9.380337238E-2	-2.153412580E-1	2.383903400E-1
1.120584583E-1	1.009594873E-1	1.056077313E-1	-1.806555748E-1	2.323408007E-1
1.220324583E-1	1.616088545E-1	1.046821171E-1	-1.358004141E-1	2.356215609E-1
1.320074583E-1	2.141238678E-1	6.887903094E-2	4.911778092E-2	2.302301198E-1
1.419824583E-1	1.900590670E-1	2.095174313E-2	2.388330317E-1	3.059454878E-1
1.519574583E-1	7.168189377E-2	9.693514109E-3	3.073132825E-1	3.157114374E-1
1.619314583E-1	-7.561239213E-2	2.323683500E-3	3.497348320E-1	3.578227020E-1
1.719064583E-1	-1.838697892E-1	-2.538334787E-2	2.885285175E-1	3.430759670E-1
1.818814583E-1	-2.008039105E-1	-5.397155464E-2	2.063722140E-1	2.929584098E-1
1.918564583E-1	-1.644078984E-1	-3.660356998E-2	1.432369030E-1	2.211031179E-1
2.018314583E-1	-1.197734792E-1	7.984957695E-2	1.322476459E-1	1.954765487E-1
2.118054583E-1	-5.066612363E-2	1.049832487E-1	1.132003409E-1	1.624895559E-1
2.217804583E-1	-3.665034771E-3	8.849760890E-2	1.054475176E-1	1.377114310E-1
2.317554583E-1	-1.508144011E-2	5.525034070E-2	1.723887813E-1	1.816533564E-1
2.417304583E-1	-5.121020705E-2	2.994593024E-2	2.606647807E-1	2.673300805E-1
2.517044583E-1	-6.377646734E-2	1.078694344E-2	2.550976467E-1	2.631702971E-1
2.616794583E-1	-3.803293099E-2	8.539858460E-3	2.078585762E-1	2.114819631E-1
2.716544583E-1	-4.909526458E-2	3.442255855E-3	1.568562376E-1	1.643960870E-1
2.816294583E-1	-7.163920909E-2	4.833893180E-2	1.125834596E-1	1.419290808E-1
2.916034583E-1	-6.536865503E-2	1.240077496E-2	9.934770226E-2	1.195692528E-1
3.015784583E-1	-5.776933034E-2	-2.623177886E-2	7.706396341E-2	9.982112105E-2
3.115534583E-1	-6.988561541E-2	-5.676944733E-2	3.119254748E-2	9.528769286E-2
3.215284583E-1	-4.813778301E-2	-1.269512379E-1	5.974099775E-2	1.483335760E-1
3.315024583E-1	-4.900848367E-3	-1.005662620E-1	1.151609214E-1	1.529693734E-1
3.414774583E-1	-6.945030391E-2	-2.057986021E-2	1.076063097E-1	1.297150463E-1
3.514524583E-1	-1.175182173E-1	-1.203356981E-3	2.444603920E-2	1.200399446E-1
3.614274583E-1	-1.349587074E-1	3.179832816E-2	-2.695450385E-2	1.412498908E-1
3.714014583E-1	-1.227807114E-1	4.817871809E-2	-1.244392741E-1	1.813323603E-1
3.813764583E-1	-1.223123494E-1	4.664908648E-3	-1.925213295E-1	2.281370959E-1
3.913514583E-1	-9.665855865E-2	9.782391787E-3	-1.091230865E-1	1.461041415E-1
4.013264583E-1	-3.827090353E-2	8.016064882E-2	1.213671470E-1	1.504007182E-1
4.113014583E-1	-1.761999051E-2	1.394654489E-1	2.136666155E-1	2.557625814E-1
4.212754583E-1	1.129391531E-2	1.344187170E-1	1.751498183E-1	2.210732975E-1
4.312504583E-1	5.540850788E-2	1.184470475E-1	1.296912432E-1	1.841728111E-1
4.412254583E-1	4.852137406E-2	1.268617755E-1	4.050189952E-2	1.417343914E-1
4.512004583E-1	5.435951740E-2	1.177383649E-1	5.458726645E-2	1.407019878E-1
4.611744583E-1	4.966566503E-2	1.145791143E-1	6.231026888E-2	1.395622489E-1
4.711494583E-1	9.329826431E-3	1.422481388E-1	-9.734453754E-3	1.428857524E-1
4.811244583E-1	3.836476961E-2	1.257648379E-1	-5.440368215E-2	1.422969101E-1
4.910994583E-1	4.784395586E-2	1.407161683E-1	-9.461955233E-3	1.489282133E-1
5.010734583E-1	4.065423776E-2	1.742318237E-1	6.077595036E-2	1.889529348E-1
5.110484583E-1	3.759176770E-2	1.802018309E-1	4.546968481E-2	1.896136416E-1
5.210234583E-1	2.086578906E-2	1.825822324E-1	2.076112390E-2	1.849396577E-1
5.309984583E-1	5.497844517E-3	1.547325289E-1	-1.101381540E-2	1.552214094E-1
